港澳台海外,#genre#
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰中文,http://live.clg.kim/tv/fhzw.m3u8
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰中文,http://39.135.49.209:6610/PLTV/88888888/224/3221227222/1.m3u8?servicetype=1
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://59.44.10.116:9901/tsfile/live/1022_1.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://59.44.10.113:9901/tsfile/live/1079_1.m3u8
凤凰中文,http://hkss3.phoenixtv.com/fs/pcc.stream/.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://223.110.245.138/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1

凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1#http://59.44.10.113:9901/tsfile/live/1078_1.m3u8#http://59.44.10.116:9901/tsfile/live/1021_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221227226/1.m3u8?servicetype=1#http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#
凤凰资讯,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8#http://59.44.10.116:9901/tsfile/live/1021_1.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://hkss3.phoenixtv.com/fs/picstream/.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8

凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰中文,http://ott.js.chinamobile.com/TVOD/3/224/3221228057/index.m3u8
凤凰中文,http://124.232.233.16:6610/000000001001/201500000230/index.m3u8?&version=v1.0&IASHttpSessionId=SLB2046220190906022827233263&AuthInfo=&m3u8_level=2
凤凰中文,http://stream.guihet.com/t/ifeng2.php?id=2
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://51.79.193.108:8080/hls/ph00451/index.m3u8
凤凰中文,http://223.110.17.137/iptv.tvfix.org/hls/fhzw.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://iptv.tvfix.org/hls/fhzw.m3u8
凤凰中文,http://live.scuec.edu.cn:8080/hls/fhzw.m3u8
凤凰中文,http://223.110.245.138/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰中文,http://39.135.55.7:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1&IASHttpSessionId=OTT
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://ott.js.chinamobile.com/TVOD/3/224/3221228098/index.m3u8
凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰资讯,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8$JS1080P
凤凰资讯,http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,http://iptv.tvfix.org/hls/fhzx.m3u8
凤凰资讯,http://51.79.193.108:8080/hls/ph00452/index.m3u8
凤凰资讯,http://117.169.124.43:6610/ysten-businessmobile/live/fhzixun/index.m3u8
凤凰资讯,http://223.110.245.136/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://39.135.55.7:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1&IASHttpSessionId=OTT

凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文台HD,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰资讯台HD,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8

凤凰香港,http://51.79.193.108:8080/hls/ph00453/index.m3u8
凤凰香港,http://59.44.10.113:9901/tsfile/live/1080_1.m3u8
凤凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/2020215104547.m3u8
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
凤凰香港,http://ott.js.chinamobile.com/TVOD/3/224/3221228060/index.m3u8
凤凰香港,http://39.134.71.75/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰香港,http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8$JS1080P
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
凤凰卫视,http://50.7.218.42:8278/phoenixtv_hd/playlist.m3u8?tid=m18f421b0e58b&ct=18336&tsum=8e0cca627477cbd534c9cef5e2c17c1c
TVB翡翠台,http://51.222.193.143:10010/2
TVB翡翠台,http://iptv.tvfix.org/hls/jade.m3u8
TVB翡翠台,http://iptv.tvfix.org/hls/jadenhk.m3u8
TVB翡翠台,http://51.79.193.108:8080/hls/ph00455/index.m3u8
TVB翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
TVB翡翠台,http://120.84.96.32:808/hls/25/index.m3u8
TVB翡翠台,http://iptv.tvfix.org/hls/jade2.m3u8
TVB明珠台,http://kkmix1.f3322.net:825/hls/ch1/s.m3u8
Now直播台,http://51.222.193.142:10011/8
Now新聞台,http://51.222.193.142:10011/9
imodeTV,http://juyunlive.juyun.tv/live/24950198.m3u8

埋堆港剧,#genre#
101_七公主,http://txtest-xp2p.p2p.huya.com/src/1199561277675-1199561277675-5434860597135015936-2399122678806-10057-A-0-1.xs
102_鬼同你OT,http://txtest-xp2p.p2p.huya.com/src/1199563477578-1199563477578-5444309108574388224-2399127078612-10057-A-0-1.xs
103_法证先锋4,http://txtest-xp2p.p2p.huya.com/src/1199561226091-1199561226091-5434639045542019072-2399122575638-10057-A-0-1.xs
104_爱回家之开心速递,http://txtest-xp2p.p2p.huya.com/src/1199563478941-1199563478941-5444314962614812672-2399127081338-10057-A-0-1.xs
105_把关者们,http://txtest-xp2p.p2p.huya.com/src/1199563995872-1199563995872-5446535164354101248-2399128115200-10057-A-0-1.xs
106_巨轮2,http://txtest-xp2p.p2p.huya.com/src/1199563484986-1199563484986-5444340925692116992-2399127093428-10057-A-0-1.xs
107_荃加福禄寿探案,http://txtest-xp2p.p2p.huya.com/src/1199561181108-1199561181108-5434445845028143104-2399122485672-10057-A-0-1.xs
